district,mandal,date,rain_(mm),min_humidity_(%),max_humidity_(%),date_yyyy_mm,_qc_missing,_qc_outlier_rain,_qc_imputed
Hanumakonda,Kamalapur,2025-06-18,0.0,47.8,78.6,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-19,0.0,48.0,71.7,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-20,0.0,53.7,78.8,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-21,0.0,47.5,79.2,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-22,0.0,46.7,94.6,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-23,0.7,45.9,99.7,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-24,0.5,57.9,94.0,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-25,23.9,63.3,99.9,2025-06,False,True,False
Hanumakonda,Kamalapur,2025-06-26,46.5,65.6,100.0,2025-06,False,True,False
Hanumakonda,Kamalapur,2025-06-27,3.5,73.9,97.9,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-28,0.0,61.1,100.0,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-29,0.0,57.9,95.7,2025-06,False,False,False
Hanumakonda,Kamalapur,2025-06-30,28.2,61.3,100.0,2025-06,False,True,False
Hanumakonda,Khazipet,2025-04-06,6.6,47.1,83.6,2025-04,False,True,False
Hanumakonda,Khazipet,2025-08-06,0.0,34.9,79.7,2025-08,False,False,False
Hanumakonda,Khazipet,2025-12-06,0.0,61.2,94.6,2025-12,False,False,False
Hanumakonda,Khazipet,2025-02-06,0.0,40.3,97.5,2025-02,False,False,False
Hanumakonda,Khazipet,2025-01-06,0.0,47.7,96.0,2025-01,False,False,False
Hanumakonda,Khazipet,2025-07-06,0.0,50.1,83.4,2025-07,False,False,False
Hanumakonda,Khazipet,2025-06-06,3.0,40.0,100.0,2025-06,False,False,False
Hanumakonda,Khazipet,2025-03-06,0.2,43.5,100.0,2025-03,False,False,False
Hanumakonda,Khazipet,2025-05-06,0.0,39.1,76.6,2025-05,False,False,False
Hanumakonda,Khazipet,2025-11-06,1.0,47.8,97.2,2025-11,False,False,False
Hanumakonda,Khazipet,2025-10-06,0.0,61.2,83.0,2025-10,False,False,False
Hanumakonda,Khazipet,2025-09-06,0.0,35.2,75.3,2025-09,False,False,False
Hanumakonda,Khazipet,2025-06-13,0.0,55.2,93.4,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-14,1.2,50.1,96.7,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-15,0.0,49.7,75.6,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-16,0.0,23.3,85.6,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-17,0.3,56.5,87.7,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-18,1.0,41.1,76.2,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-19,0.0,42.3,72.1,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-20,0.0,49.9,77.1,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-21,1.7,45.9,89.7,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-22,0.2,39.1,76.2,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-23,5.6,43.5,99.5,2025-06,False,True,False
Hanumakonda,Khazipet,2025-06-24,0.9,58.8,93.6,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-25,7.5,59.9,100.0,2025-06,False,True,False
Hanumakonda,Khazipet,2025-06-26,52.9,58.3,100.0,2025-06,False,True,False
Hanumakonda,Khazipet,2025-06-27,0.8,63.0,100.0,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-28,0.0,51.9,82.3,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-29,0.0,48.3,81.1,2025-06,False,False,False
Hanumakonda,Khazipet,2025-06-30,20.0,51.4,100.0,2025-06,False,True,False
Hanumakonda,Nadikuda,2025-04-06,0.0,54.1,83.6,2025-04,False,False,False
Hanumakonda,Nadikuda,2025-08-06,10.2,48.0,89.3,2025-08,False,True,False
Hanumakonda,Nadikuda,2025-12-06,0.0,73.6,95.5,2025-12,False,False,False
Hanumakonda,Nadikuda,2025-02-06,0.0,50.2,84.4,2025-02,False,False,False
Hanumakonda,Nadikuda,2025-01-06,0.0,64.0,92.2,2025-01,False,False,False
Hanumakonda,Nadikuda,2025-07-06,7.5,42.1,85.7,2025-07,False,True,False
Hanumakonda,Nadikuda,2025-06-06,0.0,52.2,83.2,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-03-06,0.0,51.2,81.9,2025-03,False,False,False
Hanumakonda,Nadikuda,2025-05-06,0.0,48.0,77.1,2025-05,False,False,False
Hanumakonda,Nadikuda,2025-11-06,0.4,64.0,100.0,2025-11,False,False,False
Hanumakonda,Nadikuda,2025-10-06,0.0,81.1,96.4,2025-10,False,False,False
Hanumakonda,Nadikuda,2025-09-06,2.9,48.0,95.9,2025-09,False,False,False
Hanumakonda,Nadikuda,2025-06-13,5.4,56.3,100.0,2025-06,False,True,False
Hanumakonda,Nadikuda,2025-06-14,1.8,64.0,98.9,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-15,0.0,64.9,89.7,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-16,0.0,64.9,88.9,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-17,0.0,65.7,88.9,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-18,0.0,52.6,77.1,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-19,0.0,52.1,74.4,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-20,0.0,57.6,81.6,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-21,0.0,55.4,81.2,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-22,0.0,52.6,94.2,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-23,2.7,52.2,100.0,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-24,3.2,63.4,100.0,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-25,23.9,69.1,100.0,2025-06,False,True,False
Hanumakonda,Nadikuda,2025-06-26,53.4,72.5,100.0,2025-06,False,True,False
Hanumakonda,Nadikuda,2025-06-27,5.4,79.6,100.0,2025-06,False,True,False
Hanumakonda,Nadikuda,2025-06-28,0.0,64.0,93.0,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-29,0.0,62.1,91.3,2025-06,False,False,False
Hanumakonda,Nadikuda,2025-06-30,23.2,65.7,100.0,2025-06,False,True,False
Hanumakonda,Parkal,2025-04-06,0.0,49.5,77.9,2025-04,False,False,False
Hanumakonda,Parkal,2025-08-06,0.0,39.5,85.7,2025-08,False,False,False
Hanumakonda,Parkal,2025-12-06,0.0,62.8,90.6,2025-12,False,False,False
Hanumakonda,Parkal,2025-02-06,0.0,42.7,75.2,2025-02,False,False,False
Hanumakonda,Parkal,2025-01-06,0.0,52.9,87.7,2025-01,False,False,False
Hanumakonda,Parkal,2025-07-06,32.6,35.9,94.8,2025-07,False,True,False
Hanumakonda,Parkal,2025-06-06,0.0,41.5,74.0,2025-06,False,False,False
Hanumakonda,Parkal,2025-03-06,0.0,46.3,74.7,2025-03,False,False,False
Hanumakonda,Parkal,2025-05-06,0.0,41.5,68.4,2025-05,False,False,False
Hanumakonda,Parkal,2025-11-06,0.0,55.0,89.6,2025-11,False,False,False
Hanumakonda,Parkal,2025-10-06,0.0,72.7,85.4,2025-10,False,False,False
Hanumakonda,Parkal,2025-09-06,0.0,39.5,82.3,2025-09,False,False,False
Hanumakonda,Parkal,2025-06-13,10.9,52.3,100.0,2025-06,False,True,False
Hanumakonda,Parkal,2025-06-14,0.0,54.4,90.6,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-15,0.0,60.7,85.7,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-16,0.0,60.2,80.3,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-17,0.0,56.5,80.8,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-18,0.0,45.7,70.3,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-19,0.0,45.7,66.8,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-20,0.0,50.6,75.6,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-21,0.0,48.7,74.2,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-22,0.0,44.5,91.6,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-23,1.4,45.1,100.0,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-24,0.0,56.1,99.1,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-25,32.3,63.9,100.0,2025-06,False,True,False
Hanumakonda,Parkal,2025-06-26,37.0,67.0,100.0,2025-06,False,True,False
Hanumakonda,Parkal,2025-06-27,7.8,80.0,99.4,2025-06,False,True,False
Hanumakonda,Parkal,2025-06-28,0.0,59.7,86.2,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-29,0.0,55.5,83.0,2025-06,False,False,False
Hanumakonda,Parkal,2025-06-30,20.0,57.6,100.0,2025-06,False,True,False
Hanumakonda,Shayampet,2025-04-06,1.2,51.7,84.2,2025-04,False,False,False
Hanumakonda,Shayampet,2025-08-06,0.0,41.0,85.9,2025-08,False,False,False
Hanumakonda,Shayampet,2025-12-06,0.0,60.8,88.4,2025-12,False,False,False
Hanumakonda,Shayampet,2025-02-06,0.0,45.6,76.2,2025-02,False,False,False
Hanumakonda,Shayampet,2025-01-06,0.0,54.4,86.2,2025-01,False,False,False
Hanumakonda,Shayampet,2025-07-06,2.7,36.6,87.4,2025-07,False,False,False
Hanumakonda,Shayampet,2025-06-06,0.0,43.6,74.0,2025-06,False,False,False
Hanumakonda,Shayampet,2025-03-06,0.0,45.5,78.8,2025-03,False,False,False
Hanumakonda,Shayampet,2025-05-06,0.0,42.2,73.9,2025-05,False,False,False
Hanumakonda,Shayampet,2025-11-06,0.3,51.9,91.3,2025-11,False,False,False
Hanumakonda,Shayampet,2025-10-06,0.0,71.3,85.9,2025-10,False,False,False
Hanumakonda,Shayampet,2025-09-06,2.7,39.3,83.4,2025-09,False,False,False
Hanumakonda,Shayampet,2025-06-13,4.0,54.4,95.9,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-14,0.0,54.1,91.9,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-15,0.0,55.3,88.1,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-16,0.0,56.9,80.2,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-17,0.0,55.0,82.1,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-18,0.0,46.1,69.5,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-19,0.0,43.5,66.5,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-20,0.0,49.6,73.9,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-21,0.0,46.5,74.8,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-22,3.7,41.7,94.0,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-23,2.6,45.1,97.6,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-24,3.1,55.6,97.0,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-25,44.4,60.3,98.0,2025-06,False,True,False
Hanumakonda,Shayampet,2025-06-26,34.5,62.7,97.2,2025-06,False,True,False
Hanumakonda,Shayampet,2025-06-27,14.3,75.5,97.3,2025-06,False,True,False
Hanumakonda,Shayampet,2025-06-28,0.0,53.5,89.9,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-29,0.0,53.0,83.8,2025-06,False,False,False
Hanumakonda,Shayampet,2025-06-30,35.8,55.4,97.8,2025-06,False,True,False
Hanumakonda,Velair,2025-04-06,0.0,55.9,84.7,2025-04,False,False,False
Hanumakonda,Velair,2025-08-06,0.0,42.7,68.6,2025-08,False,False,False
Hanumakonda,Velair,2025-12-06,0.0,73.7,95.9,2025-12,False,False,False
Hanumakonda,Velair,2025-02-06,0.0,48.2,91.6,2025-02,False,False,False
Hanumakonda,Velair,2025-01-06,0.0,53.8,78.9,2025-01,False,False,False
Hanumakonda,Velair,2025-07-06,0.0,45.1,93.1,2025-07,False,False,False
Hanumakonda,Velair,2025-06-06,0.5,55.9,77.5,2025-06,False,False,False
Hanumakonda,Velair,2025-03-06,0.0,55.4,84.7,2025-03,False,False,False
Hanumakonda,Velair,2025-05-06,0.0,58.3,84.1,2025-05,False,False,False
Hanumakonda,Velair,2025-11-06,15.2,69.8,98.1,2025-11,False,True,False
Hanumakonda,Velair,2025-10-06,0.0,76.3,88.3,2025-10,False,False,False
Hanumakonda,Velair,2025-09-06,0.0,60.8,91.3,2025-09,False,False,False
Hanumakonda,Velair,2025-06-13,0.0,72.3,98.0,2025-06,False,False,False
