district,mandal,date,rain_(mm),min_humidity_(%),max_humidity_(%),date_yyyy_mm
Adilabad,Adilabad Rural,2025-06-30,4.8,76.2,100.0,2025-06
Adilabad,Adilabad Urban,2025-04-06,0.0,31.5,77.6,2025-04
Adilabad,Adilabad Urban,2025-08-06,0.0,28.5,69.4,2025-08
Adilabad,Adilabad Urban,2025-12-06,0.0,61.4,95.7,2025-12
Adilabad,Adilabad Urban,2025-02-06,0.0,33.4,75.7,2025-02
Adilabad,Adilabad Urban,2025-01-06,0.0,45.1,81.4,2025-01
Adilabad,Adilabad Urban,2025-07-06,0.0,27.3,70.7,2025-07
Adilabad,Adilabad Urban,2025-06-06,0.0,52.0,86.2,2025-06
Adilabad,Adilabad Urban,2025-03-06,0.0,38.1,75.1,2025-03
Adilabad,Adilabad Urban,2025-05-06,0.3,29.6,87.9,2025-05
Adilabad,Adilabad Urban,2025-11-06,10.4,54.3,100.0,2025-11
Adilabad,Adilabad Urban,2025-10-06,51.3,43.0,100.0,2025-10
Adilabad,Adilabad Urban,2025-09-06,1.7,29.9,80.5,2025-09
Adilabad,Adilabad Urban,2025-06-13,23.4,63.3,100.0,2025-06
Adilabad,Adilabad Urban,2025-06-14,12.4,68.8,100.0,2025-06
Adilabad,Adilabad Urban,2025-06-15,0.0,47.3,88.7,2025-06
Adilabad,Adilabad Urban,2025-06-16,0.0,60.0,83.4,2025-06
Adilabad,Adilabad Urban,2025-06-17,1.7,53.3,99.5,2025-06
Adilabad,Adilabad Urban,2025-06-18,0.0,42.6,78.1,2025-06
Adilabad,Adilabad Urban,2025-06-19,0.7,57.6,81.2,2025-06
Adilabad,Adilabad Urban,2025-06-20,5.1,64.1,95.1,2025-06
Adilabad,Adilabad Urban,2025-06-21,0.0,54.1,74.3,2025-06
Adilabad,Adilabad Urban,2025-06-22,14.5,57.6,98.0,2025-06
Adilabad,Adilabad Urban,2025-06-23,0.0,56.1,90.0,2025-06
Adilabad,Adilabad Urban,2025-06-24,6.2,65.5,98.0,2025-06
Adilabad,Adilabad Urban,2025-06-25,19.1,68.4,98.8,2025-06
Adilabad,Adilabad Urban,2025-06-26,104.8,70.7,98.9,2025-06
Adilabad,Adilabad Urban,2025-06-27,1.4,77.8,98.8,2025-06
Adilabad,Adilabad Urban,2025-06-28,0.9,72.6,94.1,2025-06
Adilabad,Adilabad Urban,2025-06-29,0.0,60.6,93.1,2025-06
Adilabad,Adilabad Urban,2025-06-30,7.0,74.8,96.5,2025-06
Adilabad,Bazarhathnoor,2025-04-06,0.0,34.1,83.2,2025-04
Adilabad,Bazarhathnoor,2025-08-06,0.0,30.0,71.9,2025-08
Adilabad,Bazarhathnoor,2025-12-06,0.0,75.9,100.0,2025-12
Adilabad,Bazarhathnoor,2025-02-06,0.0,39.3,78.0,2025-02
Adilabad,Bazarhathnoor,2025-01-06,0.0,48.9,100.0,2025-01
Adilabad,Bazarhathnoor,2025-07-06,0.0,32.8,81.9,2025-07
Adilabad,Bazarhathnoor,2025-06-06,0.3,38.4,87.1,2025-06
Adilabad,Bazarhathnoor,2025-03-06,0.0,43.6,80.7,2025-03
Adilabad,Bazarhathnoor,2025-05-06,0.0,33.0,64.8,2025-05
Adilabad,Bazarhathnoor,2025-11-06,11.7,67.1,100.0,2025-11
Adilabad,Bazarhathnoor,2025-10-06,39.1,61.0,100.0,2025-10
Adilabad,Bazarhathnoor,2025-09-06,17.5,25.5,97.2,2025-09
Adilabad,Bazarhathnoor,2025-06-13,4.0,97.9,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-14,0.0,62.9,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-15,0.3,61.9,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-16,1.3,67.4,91.3,2025-06
Adilabad,Bazarhathnoor,2025-06-17,12.4,68.6,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-18,0.0,51.0,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-19,0.9,62.6,93.2,2025-06
Adilabad,Bazarhathnoor,2025-06-20,8.6,75.4,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-21,0.3,52.8,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-22,33.5,55.3,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-23,1.6,64.0,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-24,3.4,77.2,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-25,4.0,69.0,95.2,2025-06
Adilabad,Bazarhathnoor,2025-06-26,97.6,71.0,96.5,2025-06
Adilabad,Bazarhathnoor,2025-06-27,1.6,81.9,97.2,2025-06
Adilabad,Bazarhathnoor,2025-06-28,4.0,74.6,94.8,2025-06
Adilabad,Bazarhathnoor,2025-06-29,0.7,73.7,100.0,2025-06
Adilabad,Bazarhathnoor,2025-06-30,7.5,89.8,100.0,2025-06
Adilabad,Bela,2025-04-06,0.0,49.8,69.7,2025-04
Adilabad,Bela,2025-08-06,0.0,47.2,63.7,2025-08
Adilabad,Bela,2025-12-06,0.0,67.9,87.9,2025-12
Adilabad,Bela,2025-02-06,0.0,52.3,69.5,2025-02
Adilabad,Bela,2025-01-06,2.6,60.7,81.7,2025-01
Adilabad,Bela,2025-07-06,0.0,48.1,64.2,2025-07
Adilabad,Bela,2025-06-06,0.2,57.9,74.3,2025-06
Adilabad,Bela,2025-03-06,0.0,55.6,70.1,2025-03
Adilabad,Bela,2025-05-06,0.0,49.1,81.5,2025-05
Adilabad,Bela,2025-11-06,4.7,68.4,90.1,2025-11
Adilabad,Bela,2025-10-06,24.4,56.5,81.6,2025-10
Adilabad,Bela,2025-09-06,1.6,48.5,74.7,2025-09
Adilabad,Bela,2025-06-13,17.1,67.5,92.6,2025-06
Adilabad,Bela,2025-06-14,0.8,69.8,91.8,2025-06
Adilabad,Bela,2025-06-15,0.0,66.6,83.0,2025-06
Adilabad,Bela,2025-06-16,0.0,67.9,80.6,2025-06
Adilabad,Bela,2025-06-17,5.7,67.9,92.2,2025-06
Adilabad,Bela,2025-06-18,0.2,61.2,79.6,2025-06
Adilabad,Bela,2025-06-19,1.7,61.6,84.0,2025-06
Adilabad,Bela,2025-06-20,1.8,66.6,87.9,2025-06
Adilabad,Bela,2025-06-21,7.0,62.6,89.6,2025-06
Adilabad,Bela,2025-06-22,12.1,64.8,91.4,2025-06
Adilabad,Bela,2025-06-23,0.0,66.1,86.6,2025-06
Adilabad,Bela,2025-06-24,6.0,70.4,91.4,2025-06
Adilabad,Bela,2025-06-25,19.9,74.3,93.1,2025-06
Adilabad,Bela,2025-06-26,105.6,78.1,92.7,2025-06
Adilabad,Bela,2025-06-27,1.3,85.3,93.5,2025-06
Adilabad,Bela,2025-06-28,14.6,75.5,92.7,2025-06
Adilabad,Bela,2025-06-29,0.0,69.7,87.9,2025-06
Adilabad,Bela,2025-06-30,3.0,77.2,92.2,2025-06
Adilabad,Bheempoor,2025-04-06,0.0,37.2,70.9,2025-04
Adilabad,Bheempoor,2025-08-06,0.0,38.5,53.1,2025-08
Adilabad,Bheempoor,2025-12-06,0.0,57.0,96.6,2025-12
Adilabad,Bheempoor,2025-02-06,0.0,40.0,68.2,2025-02
Adilabad,Bheempoor,2025-01-06,0.0,46.9,70.0,2025-01
Adilabad,Bheempoor,2025-07-06,0.0,30.2,55.4,2025-07
Adilabad,Bheempoor,2025-06-06,0.0,49.0,67.7,2025-06
Adilabad,Bheempoor,2025-03-06,0.0,43.0,64.4,2025-03
Adilabad,Bheempoor,2025-05-06,0.0,38.8,76.7,2025-05
Adilabad,Bheempoor,2025-11-06,27.2,47.3,90.8,2025-11
Adilabad,Bheempoor,2025-10-06,14.4,44.2,68.0,2025-10
Adilabad,Bheempoor,2025-09-06,0.2,37.0,62.0,2025-09
Adilabad,Bheempoor,2025-06-13,7.1,60.5,100.0,2025-06
Adilabad,Bheempoor,2025-06-14,0.0,57.9,100.0,2025-06
Adilabad,Bheempoor,2025-06-15,0.0,56.4,88.8,2025-06
Adilabad,Bheempoor,2025-06-16,0.0,61.0,88.0,2025-06
Adilabad,Bheempoor,2025-06-17,19.8,61.5,100.0,2025-06
Adilabad,Bheempoor,2025-06-18,0.0,53.5,79.9,2025-06
Adilabad,Bheempoor,2025-06-19,0.4,58.5,93.8,2025-06
Adilabad,Bheempoor,2025-06-20,1.8,71.5,96.0,2025-06
Adilabad,Bheempoor,2025-06-21,0.5,53.5,82.6,2025-06
Adilabad,Bheempoor,2025-06-22,6.0,59.0,100.0,2025-06
Adilabad,Bheempoor,2025-06-23,0.0,57.5,97.2,2025-06
Adilabad,Bheempoor,2025-06-24,13.3,65.9,100.0,2025-06
Adilabad,Bheempoor,2025-06-25,10.0,70.6,100.0,2025-06
Adilabad,Bheempoor,2025-06-26,74.6,72.0,100.0,2025-06
Adilabad,Bheempoor,2025-06-27,10.5,89.3,100.0,2025-06
Adilabad,Bheempoor,2025-06-28,0.0,67.8,98.5,2025-06
Adilabad,Bheempoor,2025-06-29,0.0,58.5,82.8,2025-06
Adilabad,Bheempoor,2025-06-30,6.6,63.1,88.2,2025-06
Adilabad,Boath,2025-04-06,0.0,33.7,73.8,2025-04
Adilabad,Boath,2025-08-06,0.0,34.4,71.9,2025-08
Adilabad,Boath,2025-12-06,0.0,66.5,95.1,2025-12
Adilabad,Boath,2025-02-06,0.0,36.6,75.5,2025-02
Adilabad,Boath,2025-01-06,0.0,43.0,76.7,2025-01
Adilabad,Boath,2025-07-06,0.3,36.1,72.9,2025-07
Adilabad,Boath,2025-06-06,0.3,43.9,89.2,2025-06
Adilabad,Boath,2025-03-06,0.0,41.1,74.0,2025-03
Adilabad,Boath,2025-05-06,0.4,33.7,89.6,2025-05
Adilabad,Boath,2025-11-06,8.6,68.9,97.3,2025-11
Adilabad,Boath,2025-10-06,22.8,54.6,95.6,2025-10
Adilabad,Boath,2025-09-06,21.0,33.7,95.1,2025-09
Adilabad,Boath,2025-06-13,0.0,64.2,96.9,2025-06
Adilabad,Boath,2025-06-14,0.0,56.0,91.7,2025-06
Adilabad,Boath,2025-06-15,0.0,54.6,88.8,2025-06
Adilabad,Boath,2025-06-16,0.0,58.3,83.4,2025-06
Adilabad,Boath,2025-06-17,4.8,57.8,95.6,2025-06
Adilabad,Boath,2025-06-18,0.3,50.1,84.6,2025-06
Adilabad,Boath,2025-06-19,3.9,56.4,94.3,2025-06
Adilabad,Boath,2025-06-20,2.4,64.7,94.3,2025-06
Adilabad,Boath,2025-06-21,0.0,47.5,80.5,2025-06
Adilabad,Boath,2025-06-22,2.4,52.7,96.5,2025-06
Adilabad,Boath,2025-06-23,0.3,50.1,90.8,2025-06
Adilabad,Boath,2025-06-24,7.9,58.7,96.0,2025-06
Adilabad,Boath,2025-06-25,4.6,68.3,97.3,2025-06
Adilabad,Boath,2025-06-26,45.1,67.0,97.8,2025-06
Adilabad,Boath,2025-06-27,6.0,84.1,97.8,2025-06
Adilabad,Boath,2025-06-28,5.6,70.8,94.7,2025-06
Adilabad,Boath,2025-06-29,0.0,54.6,77.0,2025-06
Adilabad,Boath,2025-06-30,5.7,66.9,96.5,2025-06
Adilabad,Gadiguda,2025-04-06,0.0,46.1,72.4,2025-04
Adilabad,Gadiguda,2025-08-06,0.4,43.5,67.2,2025-08
Adilabad,Gadiguda,2025-12-06,0.0,67.9,92.3,2025-12
Adilabad,Gadiguda,2025-02-06,0.0,44.2,70.5,2025-02
Adilabad,Gadiguda,2025-01-06,0.0,55.1,75.1,2025-01
Adilabad,Gadiguda,2025-07-06,0.3,40.8,63.2,2025-07
Adilabad,Gadiguda,2025-06-06,0.0,56.1,70.0,2025-06
Adilabad,Gadiguda,2025-03-06,0.0,52.8,73.6,2025-03
Adilabad,Gadiguda,2025-05-06,0.0,45.2,75.8,2025-05
Adilabad,Gadiguda,2025-11-06,8.9,67.3,94.1,2025-11
Adilabad,Gadiguda,2025-10-06,11.2,57.4,88.7,2025-10
Adilabad,Gadiguda,2025-09-06,0.3,42.8,77.7,2025-09
Adilabad,Gadiguda,2025-06-13,13.0,73.3,96.3,2025-06
Adilabad,Gadiguda,2025-06-14,0.0,74.8,95.9,2025-06
Adilabad,Gadiguda,2025-06-15,0.0,63.8,89.6,2025-06
Adilabad,Gadiguda,2025-06-16,0.0,67.7,85.8,2025-06
Adilabad,Gadiguda,2025-06-17,1.9,68.0,94.4,2025-06
Adilabad,Gadiguda,2025-06-18,0.0,59.7,81.6,2025-06
Adilabad,Gadiguda,2025-06-19,0.3,62.6,87.1,2025-06
Adilabad,Gadiguda,2025-06-20,7.3,70.2,92.1,2025-06
Adilabad,Gadiguda,2025-06-21,0.0,57.3,81.4,2025-06
